"question","answer","create_user_id","update_user_id","category_id"
"ターミナルとテキストエディタ（sublime）の違いは何ですか？","CUIの意味を説明する簡単に言うと、メモ帳のようなもの。何故これを使うのか？」を伝える。
「コードを書いて、保存するために使うソフト」です","1","","1"
"irbとrails cの違いは？","・irb
Rubyのコードを簡単に試すことができるツール
起動してすぐRubyのコードを書いて実行し、どのような結果になるのかを見ることができる
・rails c 
アプリケーション下でコードを試すことができるコマンド
くｒす","","","2"
"返り値って具体的に何をしてくれるの？存在意義がわからない","
返り値は戻り値とも言い、オブジェクトやメソッドが処理された後の最終的な値を呼び出し元に返している。Rubyのオブジェクト自体、またはメソッドを利用した式には、全て返り値がある。
","","","2"
"返り値のnilって何ですか？","nilとは、「何も無い」を表すオブジェクト。
0はRubyにおいては数字オブジェクトの0が「ある」ということなので、これと区別するためにnilが用意されている","","","2"
"定数ってどういう時に使うんですか？","コードを書いた人が再代入しないと決めた変数。
例えば円周率は絶対に変わらない数値のため定数にする。
※定数を定義したのに再代入できるが、警告が出る仕様となっている

<ルール>
定数はアルファベットの大文字で始まる。ただし、慣習として識別子はすべて大文字で、単語の区切りを「_」としする。クラスで定義できるが、メソッドの中では定義できない。値が代入されることによって初期化・定義されるため、定義されていない定数にアクセスすると例外が発生する。また、定義されている定数に値を代入しようとすると警告が出る。
参考：http://www.task-notes.com/entry/20141124/1416761738
","","","2"
"＋での連結と式展開どちらを使うの？","文量も少ないことから式展開を使うことの方が多いです。","","","2"
"input = getsってどういう動きをしている？","まず、「input = gets」という式を「=が1つある式」と捉えてもらうことから始める。
「=が1つある式」はどんな場合でも「右の値を左の変数に代入する」という意味になる。
今回の場合、右の値は「gets」というRubyに元々用意されているメソッドである。
getsは、実行されるとターミナルが入力待ちの状態になり、そこから人が入力した値が返り値となるメソッド。","","","2"
"hashと配列の違いは？","・ハッシュ
ハッシュとは、文字列やシンボルなどをキーにしてオブジェクトを格納する
シンボルとは、文字列に似たオブジェクトで、Rubyがメソッドなどの名前の識別に使うラベルをオブジェクトにしたもの
参考：楽しいRuby p.36
<オブジェクトとは>
プログラミングの処理の対象とオブジェクトとして考える
オブジェクト指向言語における「オブジェクト」とは、このような何らかのデータ（あるいはデータの集合）とそのデータを操作するための手続きをまとめたもの
参考：楽しいRuby P.162
・配列
配列は、いくつかのオブジェクトを順序つきで格納したオブジェクト。","","","2"
"hashがよくわからない(例えてほしい)","複数の引き出しがあるタンスがあり、引き出しの中に情報を保存できる。情報を後から取り出す際に困らないよう、各引き出しにはラベルがつけられている。このラベルがキーであり、保存されている情報がバリュー。","","","2"
"posts = []をなぜここに配置するのは答えを見ても分からない","posts=[]をどこの行に足すかは3通り。
①繰り返し処理whileよりも前(while文の外)→正解
②whileで繰り返されている処理の中→不正解
③どれかのメソッドの中(postReviewなど)→不正解

<不正解の理由>
②whileの中で定義してしまうと、メニューが表示されるたびに配列の中身が空になっていまうため。
③これも結局posts = []を書いたどれかのメソッドが呼ばれるたびに配列が空になってしまう。

","","","2"
"tanakaの流れが全くわからないので分かりやすく説明をして欲しい","① “Tanaka”が変数nameに代入される
② 関数rename(name)が呼ばれ、引数のnameが関数rename(a_name)のa_nameに渡される
③ “Mr.Tanaka”が変数a_nameに代入される
④ 関数renameの返り値a_nameが変数nameに代入される
⑤ 変数nameが出力される
参考：https://youtu.be/9xizkYCwzTY
","","","2"
"post_reviewが呼ばれてからの流れがわからないので説明をして欲しい","①配列オブジェクトpostsを引数としてメソッドpost_reviewを呼び出す。
②ハッシュpostを定義する
③genre、title、reviewというキーのバリューをそれぞれ入力する。
④配列a_postsにハッシュpostを追加する
⑤a_postsをメソッドの呼び出し元に返す
","","","2"
"eachの動きを説明して欲しい","レシーバは必ず配列である。eachメソッド自体が配列クラスのインスタンスメソッドであるため。","","","2"
